 X, Y, W, T
0.58,-0.11,0.09,21.87
0.78,0.03,0.13,21.81
0.85,0.15,0.14,21.85
0.68,0.11,0.13,21.88
0.71,0.04,0.18,21.84
0.49,0.03,0.17,21.9
0.26,0.03,0.15,22.02
0.28,0.05,0.11,22
0.45,0,0.23,21.97
0.51,-0.01,0.22,21.89
0.65,0.08,0.24,21.85
0.69,0.1,0.09,21.83
0.77,0.05,0.1,21.82
0.58,0,0.24,21.86
0.4,0.02,0.19,22
0.54,-0.03,0.19,21.85
0.68,0.02,0.19,21.8
0.8,0.14,0.13,21.79
0.62,-0.01,0.15,21.84
0.73,-0.01,0.07,21.79
0.76,0.06,0.1,21.71
0.86,0.13,0.16,21.73
0.81,0.05,0.16,21.86
0.94,0.23,0.15,21.77
0.57,0.16,0.17,21.92
0.76,0.21,0.21,21.81
0.74,0.08,0.2,21.81
0.67,0.1,0.16,21.83
0.67,0.28,0.3,21.85
0.6,0.11,0.33,21.91
0.41,-0.06,0.24,21.99
0.61,-0.02,0.15,21.93
0.64,0.2,0.11,21.95
0.55,-0.03,0.04,21.96
0.41,-0.08,0.08,21.97
0.65,-0.01,0.17,21.83
0.44,-0.05,0.01,22.03
0.67,0.05,0.04,21.92
0.51,-0.04,0.02,22.1
0.42,-0.05,0.03,22.06
0.73,0.09,0.09,21.95
0.86,0.05,0.12,21.89
0.55,-0.02,0.19,21.91
0.73,0.2,0.11,21.97
0.72,0.06,0.11,21.9
0.72,0.04,0.12,21.92
0.72,0.01,0.06,21.93
0.64,0.08,0.09,21.98
0.57,-0.01,0.03,21.97
0.56,-0.01,0.09,21.97
0.65,0.03,0.04,21.93
0.79,0.13,0.14,21.89
0.88,0.1,0.15,21.88
0.9,0.23,0.15,21.88
0.89,0.14,0.18,21.94
0.7,0.11,0.09,21.97
0.54,-0.11,0.09,22.02
0.75,-0.07,0.17,21.95
0.85,0.08,0.17,21.95
0.6,0.08,0.14,21.99
0.93,0.11,0.13,21.83
0.76,0.14,0.15,21.95
0.62,0.11,0.19,21.97
0.47,0.19,0.18,22.06
0.39,0,0.1,22.06
0.64,-0.06,0.1,21.91
0.92,0.06,0.16,21.82
0.82,0.08,0.1,21.93
0.68,0.09,0.21,21.93
0.92,0.26,0.19,21.79
0.95,0.12,0.07,21.82
0.6,0.26,0.18,21.86
0.66,0.07,0.12,21.92
0.62,0.07,0.12,21.97
0.65,0.12,0.16,21.85
0.62,0,0.15,21.88
0.54,0.09,0.09,21.94
0.54,0.12,0.18,21.94
0.53,-0.03,0.15,21.93
0.59,0.07,0.05,21.92
0.63,0.13,0.2,21.89
0.51,-0.05,0.2,21.95
0.63,-0.03,0.15,21.89
0.76,-0.11,0.12,21.85
0.68,0.11,0.15,21.92
0.78,0.16,0.12,21.9
0.75,0.06,0.12,21.87
0.75,0.13,0.14,21.84
0.59,0.11,0.06,21.93
0.56,0,0.06,21.95
0.35,-0.09,0.14,22.09
0.33,-0.02,0.13,22.09
0.5,0.06,0.18,22.01
0.4,-0.05,0.06,22.11
0.47,-0.01,0.18,22.04
0.67,-0.03,0.06,21.93
0.44,-0.02,0.13,21.96
0.85,-0.03,0.15,21.83
0.65,0.15,0.15,21.94
0.5,-0.02,0.05,21.92
0.91,0.11,0.18,21.77
0.92,0.11,0.13,21.79
0.73,0.26,0.18,21.91
0.65,0.02,0.13,21.95
0.7,0.2,0.21,21.9
0.64,0.03,0.08,21.99
0.49,0.1,0.12,21.97
0.72,0.13,0.2,21.81
0.64,0.07,0.24,21.85
0.83,0.07,0.24,21.81
